[NanoDet][12-12 09:27:08]INFO: Setting up data...
[NanoDet][12-12 09:27:10]INFO: Creating model...
[NanoDet][12-12 10:35:09]INFO: Train|Epoch43/100|Iter380(2)| lr:1.40e-01| loss_qfl:0.1139| loss_bbox:0.4111| loss_dfl:0.2176| 
[NanoDet][12-12 10:36:39]INFO: Train|Epoch44/100|Iter390(3)| lr:1.40e-01| loss_qfl:0.1865| loss_bbox:0.4560| loss_dfl:0.2111| 
[NanoDet][12-12 10:38:08]INFO: Train|Epoch45/100|Iter400(4)| lr:1.40e-01| loss_qfl:0.1817| loss_bbox:0.4067| loss_dfl:0.2059| 
[NanoDet][12-12 10:39:40]INFO: Train|Epoch46/100|Iter410(5)| lr:1.40e-01| loss_qfl:0.2067| loss_bbox:0.4165| loss_dfl:0.1981| 
[NanoDet][12-12 10:41:09]INFO: Train|Epoch47/100|Iter420(6)| lr:1.40e-01| loss_qfl:0.1074| loss_bbox:0.4104| loss_dfl:0.1923| 
[NanoDet][12-12 10:42:41]INFO: Train|Epoch48/100|Iter430(7)| lr:1.40e-01| loss_qfl:0.1640| loss_bbox:0.4377| loss_dfl:0.2071| 
[NanoDet][12-12 10:44:10]INFO: Train|Epoch49/100|Iter440(8)| lr:1.40e-01| loss_qfl:0.1601| loss_bbox:0.4107| loss_dfl:0.2036| 
[NanoDet][12-12 10:46:28]INFO: Val|Epoch50/100|Iter450(0)| lr:1.40e-01| loss_qfl:0.3174| loss_bbox:0.3159| loss_dfl:0.1883| 
[NanoDet][12-12 10:46:35]INFO: Val_metrics: {'mAP': 0.06995791404893671, 'AP_50': 0.10527762637618862, 'AP_75': 0.07966610886679171, 'AP_small': -1.0, 'AP_m': 0.0, 'AP_l': 0.07102227909376298}
[NanoDet][12-12 10:47:59]INFO: Train|Epoch51/100|Iter450(0)| lr:1.40e-01| loss_qfl:0.1175| loss_bbox:0.3624| loss_dfl:0.1911| 
[NanoDet][12-12 10:49:30]INFO: Train|Epoch52/100|Iter460(1)| lr:1.40e-01| loss_qfl:0.1766| loss_bbox:0.4181| loss_dfl:0.2067| 
[NanoDet][12-12 10:50:59]INFO: Train|Epoch53/100|Iter470(2)| lr:1.40e-01| loss_qfl:0.1399| loss_bbox:0.3902| loss_dfl:0.2019| 
[NanoDet][12-12 10:52:29]INFO: Train|Epoch54/100|Iter480(3)| lr:1.40e-01| loss_qfl:0.1257| loss_bbox:0.3824| loss_dfl:0.1974| 
[NanoDet][12-12 10:54:01]INFO: Train|Epoch55/100|Iter490(4)| lr:1.40e-01| loss_qfl:0.1661| loss_bbox:0.4355| loss_dfl:0.2041| 
[NanoDet][12-12 10:55:30]INFO: Train|Epoch56/100|Iter500(5)| lr:1.40e-01| loss_qfl:0.1389| loss_bbox:0.4120| loss_dfl:0.2013| 
[NanoDet][12-12 10:57:03]INFO: Train|Epoch57/100|Iter510(6)| lr:1.40e-01| loss_qfl:0.1429| loss_bbox:0.3654| loss_dfl:0.1854| 
[NanoDet][12-12 10:58:33]INFO: Train|Epoch58/100|Iter520(7)| lr:1.40e-01| loss_qfl:0.1194| loss_bbox:0.3845| loss_dfl:0.1965| 
[NanoDet][12-12 11:00:03]INFO: Train|Epoch59/100|Iter530(8)| lr:1.40e-01| loss_qfl:0.1337| loss_bbox:0.4124| loss_dfl:0.2012| 
[NanoDet][12-12 11:02:22]INFO: Val|Epoch60/100|Iter540(0)| lr:1.40e-01| loss_qfl:0.3309| loss_bbox:0.3449| loss_dfl:0.1951| 
[NanoDet][12-12 11:02:29]INFO: Val_metrics: {'mAP': 0.06589155811934938, 'AP_50': 0.1014598900707477, 'AP_75': 0.07524786998210582, 'AP_small': -1.0, 'AP_m': 0.0, 'AP_l': 0.0669195453460643}
[NanoDet][12-12 11:03:53]INFO: Train|Epoch61/100|Iter540(0)| lr:1.40e-01| loss_qfl:0.1603| loss_bbox:0.4106| loss_dfl:0.1974| 
[NanoDet][12-12 11:05:26]INFO: Train|Epoch62/100|Iter550(1)| lr:1.40e-01| loss_qfl:0.2057| loss_bbox:0.3794| loss_dfl:0.1939| 
[NanoDet][12-12 11:06:56]INFO: Train|Epoch63/100|Iter560(2)| lr:1.40e-01| loss_qfl:0.1521| loss_bbox:0.3721| loss_dfl:0.1904| 
[NanoDet][12-12 11:08:28]INFO: Train|Epoch64/100|Iter570(3)| lr:1.40e-01| loss_qfl:0.1835| loss_bbox:0.4030| loss_dfl:0.1962| 
[NanoDet][12-12 11:09:57]INFO: Train|Epoch65/100|Iter580(4)| lr:1.40e-01| loss_qfl:0.1492| loss_bbox:0.3860| loss_dfl:0.1991| 
[NanoDet][12-12 11:11:26]INFO: Train|Epoch66/100|Iter590(5)| lr:1.40e-01| loss_qfl:0.1423| loss_bbox:0.3885| loss_dfl:0.1929| 
[NanoDet][12-12 11:12:58]INFO: Train|Epoch67/100|Iter600(6)| lr:1.40e-01| loss_qfl:0.1727| loss_bbox:0.3825| loss_dfl:0.1944| 
[NanoDet][12-12 11:14:28]INFO: Train|Epoch68/100|Iter610(7)| lr:1.40e-01| loss_qfl:0.1877| loss_bbox:0.3781| loss_dfl:0.1944| 
[NanoDet][12-12 11:16:00]INFO: Train|Epoch69/100|Iter620(8)| lr:1.40e-01| loss_qfl:0.1401| loss_bbox:0.3748| loss_dfl:0.1867| 
[NanoDet][12-12 11:18:14]INFO: Val|Epoch70/100|Iter630(0)| lr:1.40e-01| loss_qfl:0.2931| loss_bbox:0.3043| loss_dfl:0.1846| 
[NanoDet][12-12 11:18:21]INFO: Val_metrics: {'mAP': 0.08854614157450238, 'AP_50': 0.12943766131093967, 'AP_75': 0.1026488056475811, 'AP_small': -1.0, 'AP_m': 0.019999999999999993, 'AP_l': 0.08980718605609118}
[NanoDet][12-12 11:19:47]INFO: Train|Epoch71/100|Iter630(0)| lr:1.40e-01| loss_qfl:0.1582| loss_bbox:0.3593| loss_dfl:0.1922| 
[NanoDet][12-12 11:21:16]INFO: Train|Epoch72/100|Iter640(1)| lr:1.40e-01| loss_qfl:0.1356| loss_bbox:0.3716| loss_dfl:0.1839| 
[NanoDet][12-12 11:22:46]INFO: Train|Epoch73/100|Iter650(2)| lr:1.40e-01| loss_qfl:0.1126| loss_bbox:0.3788| loss_dfl:0.1932| 
[NanoDet][12-12 11:24:17]INFO: Train|Epoch74/100|Iter660(3)| lr:1.40e-01| loss_qfl:0.1100| loss_bbox:0.3654| loss_dfl:0.1844| 
[NanoDet][12-12 11:25:47]INFO: Train|Epoch75/100|Iter670(4)| lr:1.40e-01| loss_qfl:0.1438| loss_bbox:0.3625| loss_dfl:0.1946| 
[NanoDet][12-12 11:27:18]INFO: Train|Epoch76/100|Iter680(5)| lr:1.40e-01| loss_qfl:0.1760| loss_bbox:0.3534| loss_dfl:0.1922| 
[NanoDet][12-12 11:28:47]INFO: Train|Epoch77/100|Iter690(6)| lr:1.40e-01| loss_qfl:0.0997| loss_bbox:0.3177| loss_dfl:0.1840| 
[NanoDet][12-12 11:30:18]INFO: Train|Epoch78/100|Iter700(7)| lr:1.40e-01| loss_qfl:0.1343| loss_bbox:0.3531| loss_dfl:0.1969| 
[NanoDet][12-12 11:31:48]INFO: Train|Epoch79/100|Iter710(8)| lr:1.40e-01| loss_qfl:0.1846| loss_bbox:0.3646| loss_dfl:0.1929| 
[NanoDet][12-12 11:34:05]INFO: Val|Epoch80/100|Iter720(0)| lr:1.40e-01| loss_qfl:0.3689| loss_bbox:0.3121| loss_dfl:0.1849| 
[NanoDet][12-12 11:34:13]INFO: Val_metrics: {'mAP': 0.08532252193835797, 'AP_50': 0.12284173076469267, 'AP_75': 0.0950605928641892, 'AP_small': -1.0, 'AP_m': 0.0, 'AP_l': 0.08649416778917389}
[NanoDet][12-12 11:35:35]INFO: Train|Epoch81/100|Iter720(0)| lr:1.40e-01| loss_qfl:0.1664| loss_bbox:0.3633| loss_dfl:0.1909| 
[NanoDet][12-12 11:37:04]INFO: Train|Epoch82/100|Iter730(1)| lr:1.40e-01| loss_qfl:0.1408| loss_bbox:0.3743| loss_dfl:0.1895| 
[NanoDet][12-12 11:38:35]INFO: Train|Epoch83/100|Iter740(2)| lr:1.40e-01| loss_qfl:0.1429| loss_bbox:0.3962| loss_dfl:0.1987| 
[NanoDet][12-12 11:40:05]INFO: Train|Epoch84/100|Iter750(3)| lr:1.40e-01| loss_qfl:0.1782| loss_bbox:0.3389| loss_dfl:0.1837| 
